ari.	claro.
kanan punchaw.	hoy.
kani.	soy.
kani.	estoy.
kancha.	patio.
kancha.	cancha.
kancha.	corral.
kancha.	canchón.
kancha.	cerca.
kancha.	cerco.
kanchik.	somos.
kanchik.	estamos.
kanku.	son.
kanku.	están.
kakuy.	quedarse.
kakuy.	permanecer.
kakuy.	quedar.
kakuy.	quedarse.
kanman.	sería.
kanqa.	será.
kankay.	asar.
kanka.	asado.
kanka.	carne asada.
kanka.	churrasco.
kanka.	asadura.
kanki.	eres.
kanki.	estás.
kankichik.	sois.
kankichik.	estáis.
kanku.	son.
kanku.	están.
kañay.	quemar.
kañay.	incendiar.
kañay.	incinerar.
kañay.	atizar.
kapka.	duro.
kapuli.	capulí.
kantaray killa.	octubre.
kapuqninkuna.	riqueza.
kapuqniyoq.	rico.
kaq.	el que es.
kaq.	ella que es.
kaq.	normal.
kaq.	habitual.
kaq.	el era.
karpintiru.	carpintero.
karqa.	era.
karqa.	estaba.
karqa.	había.
karqani.	era.
karqani.	estaba.
karqanki.	eras.
karqanki.	estabas.
karru.	coche.
karru.	carro.
karru.	automóvil.
karu.	distante.
karu.	lejano.
karu.	lejos.
karu.	apartado.
karu.	extenso.
kasarakuy.	casarse.
kasarakuy.	matrimonio.
kantu.	extremo.
karwa.	dinero.
kantu.	limite.
kanuwa.	canoa.
kañay.	quemar.
karpawasi.	carpa.
karu.	lejos.
karu.	distante.
karu.	lejano.
karullapi.	a distancia.
karu llaqtamanta.	internacional.
karu llaqtamanta runa.	forastero.
karu llaqtamanta runa.	extranjero.
karuman rina.	viaje.
karu runa.	forastero.
kastilla simi.	castellano.
kasukuq.	obediente.
kasukuy.	obedecer.
kasuy.	obedecer.
kasuy.	oír.
kasuy.	hacer caso.
Kashamarka.	Cajamarca.
kawpaq runa.	político.
kawpay.	política.
kawsay.	vida.
kawsay.	existencia.
kawsay.	vivencia.
kawsay.	vivir.
kawsay.	habitar.
kawsay.	existir.
kawsaykuna.	víveres.
kawsaykuna.	comestibles.
kawsaykuna.	alimentos.
kawsaykuna.	semillas.
kay hina.	así.
kawsay yachay.	cultura.
kawsay yachaykuna.	cultura.
katatatay.	graznar.
katatatay.	tiritar.
kay.	este.
kay.	esta.
kay.	esto.
kay.	éste.
kayna.	así.
kaniku.	somos.
kaykuna.	estos.
kaykuna.	estas.
kayllapi.	aquí.
kayman.	hacia aquí.
kayman.	acá.
kayman.	aquí.
kaypi.	aquí.
kaypi.	acá.
kaypi.	en este lugar.
kay qatiq.	siguiente.
kayta chayta puriq.	vagabundo.
kichari.	abierto.
¡Kawsachun!	¡Qué viva!
¡Kawsachun!	¡viva!
kawsaqimasi.	prójimo.
kicharina.	llave.
qillqay.	escribir.
qillqarimay.	leer.
kicharisqa.	abierto.
kichariy.	abre.
kichasqa.	abierto.
kichay.	abrir.
kichay.	destapar.
kichka.	espina.
kichka.	púa.
kichka.	zarsa.
kichka-kichka.	espinoso.
kikillanmanta.	por sí mismo.
kikillmasi.	homogéneo.
kikinchasqa.	igualado.
kikin.	mismo.
kikinhina.	idéntico.
kikin kay.	autonomía.
kikinmanta.	por sí mismo.
kikin munaywan.	voluntariamente.
kikin rurasqa.	casero.
kikiy.	yo mismo.
kikiyki.	tú mismo.
killa.	luna.
killachaw.	lunes.
killa hunt'a.	luna llena.
killa nanay.	menstruación.
kimsa.	tres.
kimsa.	3.
kimsachasqa.	triplicado.
kimsachay.	triplicar.
kimsa chunka.	treinta.
kimsa waranqa.	tres mil.
kimsa kaq.	tercero.
kimsak'uchu.	triángulo.
kimsa ura.	las tres.
kinray.	ladera.
kinrachiy.	inclinar.
killki.	ángel.
kintu.	ramo.
kipchan.	hígado.
kiru.	diente.
kiru.	muela.
kiru.	colmillo.
kiru chakuy.	dentición.
kiru hurquq.	dentista.
kiru hutk'u.	caries.
tikray.	traducir.
muspay.	delirar.
llulla.	mentiroso.
llullay.	mentir.
llullay.	engañar.
llullay.	falsear.
maraypi.	en el batan.
paqarin.	mañana.
paqarin.	el día de mañana.
paqarin.	dia siguiente.
paqarin.	aurora.
paqarinkama.	hasta mañana.
paqariy.	amanecer.
paqariy.	hacerse de día.
rimaykuy.	saludar.
rimay.	hablar.
ripuy.	irse.
ripuy.	marcharse.
ripuy.	salir.
riy.	ir.
riy.	acudir.
riy.	partir.
riy.	asistir.
riy.	andar.
riy.	viajar.
riy.	partir.
orqoy.	extracción.
orqoy.	substracción.
orqoy.	sacar.
orqoy.	extraer.
orqoy.	obtener.
orqoy.	restar.
orqoy.	disminuir.
onqoy.	enfermedad.
onqosqa.	enfermo.
onqoy.	peste.
suyay.	esperar.
suyay.	aguardar.
orqo.	cerro.
orqo.	monte.
orqo.	colina.
oqe.	gris.
wischuy.	botar.
hamuy.	venir.
kutimuy.	volver.
kutichiy.	retornar.
kutiy.	regresar.
kutiy.	retornar.
kachaykuqrusqa.	abandonado.
kachi.	sal.
kachisapa.	salado.
waqay.	llorar.
asiy.	reir.
musmuy.	olfatear.
yuyay.	recordar.
qunqay.	olvidar.
kawsay.	vive.
wañuy.	morir.
apay.	llevar.
upyay.	beber.
mikuy.	comer.
ruway.	hacer.
puñuy.	dormir.
maskay.	buscar.
maskay.	investigar.
maskay.	averiguar.
maskay.	examinar.
Manaraq.	Todavía.
paqariy.	amanecer.
paray.	llover.
piñakuy.	enojarse.
putkay.	enturbiar.
pukuy.	soplar.
puka.	rojo.
puka.	colorado.
rikchay.	despertar.
rantiy.	comprar.
munay.	querer.
waylluy.	amar.
chiqniy.	odiar.
maqay.	golpear.
llamkay.	trabajar.
pukyay.	jugar.
challway.	pescar.
tarpuy.	sembrar.
tawa.	cuatro.
tawa.	4.
tawa chunka.	cuarenta.
uña.	ternero.
uña.	becerro.
upallay.	callarse.
upallay.	cállate.
upallay.	silencio.
upyay.	beber.
upyay.	tomar.
urin.	sur.
urin.	abajo.
urin.	bajo.
urmay.	caer.
urmay.	caerse.
urmay.	tropezarse.
urmay.	desplomarse.
uru.	bichos.
uru.	gusano.
utulu.	gallo.
usa.	piojo.
usakuy.	empiojarse.
uska.	mendigo.
uska.	limosnero.
ustuy.	ingresar.
ustuy.	introducir.
usuchisqa.	desperdiciado.
usuchisqa.	despreciado.
usuchiy.	desperdiciar.
uktubri.	octubre.
utku utku.	algodonal
utku.	algodón.
uchuy.	pequeño.
uchuy.	bajo.
urmay.	caer.
urmay.	caerse.
urmay.	derrumbarse.
urmay.	desplomarse.
ubiha.	cordero.
ubiha.	oveja.
ubiha.	carnero.
uya.	cara.
uya.	rostro.
uya.	tez.
uya.	semblante.
uyachiy.	doblegar.
uyachiy.	convencer.
uyariy.	oír.
uyariy.	escuchar.
uyariy.	sentir.
uyllay.	rezo.
uyllay.	oración.
uyllay.	rezar.
uyllay.	orar.
uytu.	buche.
uyway.	criar.
uyway.	cuidar.
uyway.	proteger.
uywa.	ganado.
uyway.	criar.
uywayoq.	ganadero.
ispay.	orinar.
ñaqchay.	peinar.
machay.	embriagar.
pitay.	fumar.
pukllay.	jugar.
pukllay.	recrearse.
sirkay.	sangrar.
wañuchiy.	matar.
takiy.	cantar.
tusuy.	bailar.
tuta.	noche.
tuta.	tiniebla.
tutayay.	anochecer.
tutayay.	oscurecer.
tutayay.	oscurecerse.
tutayay.	anochecer.
Tusuni.	Bailo.
Tusurqani.	Bailé.
tususaq.	Bailaré.
wachachiy.	hacer parir.
wachachiy.	partear.
wachay.	parir.
wachay.	dar a luz.
wachay.	nacer.
wachay.	brotar.
wachu.	columna.
wachwa.	pato.
wachwa.	ganso.
wachi.	flecha.
wachi.	saeta.
wachi.	dardo.
wachi.	arco.
wak.	aquella.
wak.	aquello.
wak.	otro.
wak.	aquel.
wak.	esa.
wak.	ese.
waka.	vaca.
wakakuna.	vacas.
wakapura.	entre vacas.
wakacha.	vaquita.
wakachakuna.	vaquitas.

wakcha.	pobre.
wakcha.	indigente.
wakcha kay.	pobreza.
wakcha kay.	orfandad.
wakcha kay.	mendicidad.
wakcha kay.	pobre.
wakcha warma.	huérfano.
waki.	unos.
waki.	unas.
wakin.	morfema gramatical.
wakin.	sufijo.
waki-wakillanta.	lento.
wakkuna.	aquellos.
wakkuna.	aquellas.
wakmanta.	desde allá.
wakpi.	allá.
wakpi.	en otro lugar.
wakpi.	en otro sitio.
wali.	falda.
wallpa.	gallina.
wallwaksu.	áxila.
wallwaksu.	sobaco.
waman.	gavilán.
waman.	halcón.
waman.	aguilucho.
Wamanga.	Huamanga.
wamaq.	extraño.
wamaq.	forastero.
wamaq.	raro.
wamaq.	singular.
wamaq.	alguna vez.
wamaq.	rara vez.
wampar.	pirámide.
wampu.	barca.
wampu.	barco.
wampu.	bote.
wampu.	lancha.
wampu.	piragua.
wampuy.	nadar.
wampuy.	flotar.
wampuy.	navegar.
warma.	niño.
warma.	niña.
wanachiykuna.	sanciones.
wanaku.	guanaco.
wanaku.	auquénido.
Wankapi.	Huancapi.
wanay.	mejorarse.
wanay.	convertirse.
wanay.	corregir.
wanay.	enmendar.
wankara.	tambor.
wankara.	bombo.
wankichay.	juntar.
wankichay.	unir.
wankiy.	apretar.
wankiy.	prensar.
wankiy.	modelar.
wankiy.	esculpir.
wankiy.	moldear.
wanku.	correa de cuero.
wanku.	cinturon.
wanku.	venda.
wanka.	roca.
wanka.	peña.
wanka.	piedra.
wanka.	peñon.
Wankawilika.	Huancavelica.
Wanta.	Huanta.
wantuy.	trasladar.
wantuy.	portar.
wantuy.	trasladar en hombre.
wanwa.	zancudo.
wanwa.	mosquito.
wañuchiq.	asesino.
wañuchiq.	matador.
wañuchiy.	asesinar.
wañuchiy.	matar.
wañuchiy.	extinguir.
wañusqa.	muerto.
wañusqa.	extinto.
wañusqa.	finado.
wañuy.	muerte.
wañuy.	fallecimiento.
wañuy.	morir.
wañuy.	fallecer.
wañuy.	apagarse.
wañuy.	expirar.
wañuy.	perecer.
wañuykuy.	mortandad.
wañuy wañuy.	mortalmente.
wañuy wañuy.	de muerte.
waspi.	vapor.
waspi.	gas.
waspi.	humareda.
waspiy.	evaporarse.
waspiy.	vaporizarse.
waspiy.	evaporar.
waqati.	maricón.
waqati.	cobarde.
waqati.	llorón.
waqay.	llorar.
waqay.	trinar.
waqay.	mujir.
waqay.	sollozar.
waqay.	lamentar.
waqay.	sonar.
waqra.	cuerno.
waqra.	asta.
waqra.	cornamenta.
waqra.	cacho.
waqra puku.	trompa.
waqray.	cornear.
waqsu.	colmillo.
waqta.	costilla.
waqta.	costado.
waqta.	flanco.
waqta.	lado.
waqtapay.	descansar.
waqtapay.	estar echado.
waqtapay.	estar acostado.
waqtapay.	acostarse.
waqtay.	golpear.
waqtay.	dar golpes.
waqtay.	pegar.
waqtay.	azotar.
waqtay.	flagelar.
waqo.	mejilla.
waqo.	mandibula.
waqo.	quijada.
waqo.	muela de juicio.
waqo.	muela cordal.
wara.	pantalón.
wara.	pantalones.
wara.	pañete.
waraka.	honda.
warakaq.	hondero.
waralli.	calzoncillo.
waranqa.	mil.
waranqa.	1000.
waranqa aqnu.	kilogramo.
waranqa aqnu.	kilo.
waranqacha tatki.	milímetro.
waranqa tatki.	kilómetro.
wari.	vicuña.
waranku.	tamarisco.
waranku.	huarango.
waraqu.	cactus.
waraqu.	cacto.
warayuq.	concejal.
warayuq.	varayo.
wareqolli.	vela.
wareqolli.	antorcha.
warkuy.	colgar.
warkuy.	pender.
warkuy.	tenderse.
warkunay.	descolgar.
warmi.	femenino.
warmi.	mujer.
warmi.	esposa.
warmi.	hembra.
warmi churi.	hija.
warmi wawa.	hija. 
warmi wawa.	niña. 
warmi willka.	nieta.
waru waru.	camellones.
warwar.	floripondio.
wasa.	espalda.
wasa.	dorso.
wasa ruru.	riñón.
wakcha.	sin tierra.
wakcha.	mendigo.
wasi.	casa.
wasi.	albergue.
wasi.	vivienda.
wasi.	posada.
wasi.	nido.
wasi.	cueva.
wasi.	habitación.
wasi.	residencia.
wasi.	hogar.
wak.	aquella.
wak.	aquello.
wak.	otro.
wasqey.	abdicar.
wasqey.	renunciar.
wata.	año.
wata.	edad.
watana.	atadero.
watana.	amarradero.
watana.	lazo.
watana.	cuerda.
watana.	soga.
watanay qellqa.	calendario.
watan watan.	anualmente.
watay.	atar.
watay.	amarrar.
watay.	sujetar.
watay.	liar.
watay.	encadenar.
watay.	enlazar.
watinkay.	apresar.
wateq.	investigador.
watiqay.	observar.
watiqay.	examinar.
watiqay.	espiar.
watiqay.	investigar.
watiqay.	vigilar.
watiqay.	acechar.
watmu.	padrino.
watmulliy.	apadrinar.
watu.	cordel.
watu.	faja.
watu.	cinturón.
watu.	hilo.
watu.	pita.
watu.	cordón.
Watuchikuna.	Adivinanzas.
watuchi.	adivinanza.
watuchi.	acertijo.
watukuy.	visitar.
watukuy.	preguntar.
watukuy.	extrañar.
watuq.	adivino.
watuq.	adivina.
watuq.	mágico.
watuq.	agorero.
watuq.	hechicero.
watuq.	brujo.
watyay.	asar.
wata.	isla.
wawa.	niño.
wawa.	infante.
wawa.	bebe.
waya.	suelto.
waya.	flojo.
waya.	flojamente amarrado.
wawqe.	hermano.
wayanakuy.	golondrina.
wayayay.	afligirse.
wayayay.	talega.
wayayay.	saquillo.
wayayay.	saco.
wayayay.	bolsa.
waylis.	avispa.
waylla.	prado.
waylla.	césped.
waylla.	pradera.
waylla.	llanura.
waylla.	pasto.
wayllani.	pradera.
wayllani.	sábana.
wayma.	antaño.
wayna.	amante.
wayna.	enamorado.
wayna.	querido.
wayna.	adolescente.
wayna runa.	varón joven.
wayna runa.	muchacho.
wayna runa.	chico.
waynayay.	rejuvenecer.
waynayay.	volverse joven.
wayñu.	huayno.
wayqa.	saco.
wayqa.	bolsa.
wayqo.	quebrada.
wayqo.	hondonada.
wayqo.	barranco.
wayqo.	cuenca.
wayqo.	cañon.
wayra.	viento.
wayra.	aire.
wayra.	brisa.
wayra.	atmosfera.
wayralla.	apresuradamente.
wayralla.	rápido.
wayralla.	agilmente.
wayronqo.	abejorro.
wayronqo.	moscardon.
wayronqo.	abeja.
wayta.	flor.
wayta.	flor silvestre.
wayta.	flor campestre.
weqaw.	cintura.
weqaw.	talle.
weqe.	lágrima.
weqe.	llanto.
weqe.	rugido.
weqechay.	hacer lagrimear.
weqe pacha.	valle de lágrimas.
weqruy.	torcer los pies.
weqruy.	cojear.
waytay.	florecer.
wayu.	nadar.
wayu.	musgo.
waywa.	disminución.
waywa.	resta.
waywa.	merma.
waywacha.	ardilla.
waywaku.	ardilla.
Way way!	¡ay!
Way way!	¡vaya!
wichay.	subir.
wichay.	ascender.
wichay.	trepar.
wichay.	escalar.
wichay.	superior.
wichiy.	caer.
wichiy.	hundirse.
wichiy.	perecer.
wichqay.	cerrar.
wichqay.	trancar.
wichqay.	taponar.
wichqay.	encerrar.
wichqay.	encarcelar.
wichqay.	clausura.
wichqay.	encorralar.
wikapay.	descartar.
wikapay.	arrojar.
wikapay.	aventar.
wikapay.	lanzar.
wikapay.	tirar.
wikapay.	derribar.
wikuña.	vicuña.
wilali.	leche.
willachikuqkuna.	medios de comunicación.
wischurayay.	descansar.
wischurayay.	estar echado.
wischurayay.	estar acostado.
wischurayay.	yacer.
wischurayay.	permanecer tirado.
wischuy.	acostarse.
wischuy.	echar.
wischuy.	arrojar.
wischuy.	abandonar.
wischuy.	botar.
wischuy.	desechar.
wischuy.	expulsar.
wischuy.	destituir.
wiksa.	estómago.
wiksa.	barriga.
wiksa.	vientre.
wiksa.	abdomen.
wiksa.	panza.
wiksu.	torcido.
wiksu.	curvo.
wiksu.	inclinado.
wiksu.	doblado.
wiksu.	oblícuo.
wiksuy.	torcer.
wiksuy.	encorvar.
wiksuy.	curvar.
wiksuy.	inclinar.
wiksuy.	ladear.
wiksuy.	sesgar.
willakuy.	cuento.
willakuy.	leyenda.
willakuy.	aviso.
willakuy.	historia.
willakuy.	noticia.
willakuy.	relato.
willakuy rapi.	afiche.
willara.	volumen.
willay.	avisar.
willay.	advertir.
willay.	prevenir.
willay.	anunciar.
willay.	comunicar.
willay.	notificar.
willay.	avisar.
willay.	confesar.
willka.	nieta.
willka.	nieto.
willka.	bisnieto.
willka.	bisnieta.
willka.	biznieta.
willka.	biznieto.
willka.	sagrado.
willu.	manco.
winku.	torcido.
winku.	virolo.
winku.	bizco.
wiñakuy.	crecer.
wiña-wiñaypaq.	eterno.
wiñay.	criarse.
wiñay.	desarrollarse.
wiñay kachamuy.	retornar.
wiñaypaq.	eterno.
wiñay.	crecer.
wiñaypaq.	para siempre.
wiñaypaq.	eternamente.
wiruka.	perdiz.
wiqu.	encorvado.
wiqu.	incorrecto.
wiqu.	torcido.
wira.	gordo.
wira.	grueso.
wira.	obeso.
wira.	corpulento.
wira.	grasa.
wira.	sebo.
wira.	manteca.
wira.	aceite.
wira.	cebo.
wirachay.	ensebar.
wirachay.	engrasar.
wirataka.	mugriento.
wirpa.	labio inferior.
wirpa.	labios.
wirpa.	labio.
wisa.	militar.
wisa.	miliciano.
wisapaq.	soldado.
wiskacha.	vizcacha.
wiskaku.	vizcacha.
wiskaku.	viscacha.
willay.	avisar.
wislla.	cuchara.
wislla.	cucharón.
wislla.	cucharón de madera.
wispa.	gemelo.
wispa.	mellizo.
wispa.	gemelos.
wispanin.	cada mellizo.
wistu.	torcido.
wistu.	chueco.
wistu.	curvo.
wistu.	cojo.
wisu.	liquen.
wiswi.	seboso.
wiswi.	grasiento.
wiswi.	grasoso.
wiswichay.	engrasar.
wiswichay.	lubricar.
wiyis.	buey.
rantiy.	comprar.
yacha.	noción.
yacha.	noticia.
yacha.	sabiduria.
yachachikuq.	alumno.
yachachikuq.	estudiante.
yachachiq.	maestro.
yachachiq.	profesor.
yachachiq.	educador.
yachachiq.	maestra.
yachachiq.	preceptor.
yachachiq.	pedagogo.
yachachiq.	pedagoga.
yachachiq.	instructor.
yachacheq masi.	compañero.
yachachiy.	enseñanza.
yachachiy.	instrucción.
yachachiy.	educación.
yachachiy.	enseñar.
yachachiy.	capacitar.
yachachiy.	educar.
yachachiy.	instruir.
yachachiy.	disciplinar.
yachachiy.	explicar.
yachachiy.	anunciar.
yachakuq.	alumno.
yachakuq.	alumna.
yachakuq.	aprendiz.
yachakuq.	estudiante.
yachakuq.	discípulo.
yachakuq.	principiante.
yachakuy.	acostumbrarse.
yachakuy.	aclimatarse.
yachakuy.	adaptarse.
yachakuy.	aprender.
yachakuy.	estudiar.
yachakuy.	habituarse.
yachana wasi.	escuela.
yachana wasi.	aula.
Yachani.	yo sé.
yachanki.	tú sabes.
yaku.	agua.
yaku.	aguas.
yaku.	manantial.
yaku.	agual.
yakunayaq.	sediento.
yachaq.	sabio.
yachaq.	conocedor.
yachaq.	curandero.
yachaq.	hechicero.
yachaq.	hechicera.
yachaq.	cientifico.
yachaq.	sabedor.
yachay.	vivir.
yachay.	morar.
yachay.	residir.
yachay.	saber.
yachay.	aprender.
yachay.	conocer.
yachay.	enterarse.
yachay.	entender.
yachay.	anoticiarse.
yachayniyoq.	sabio.
yachayniyoq.	experto.
yachayniyoq.	conocedor.
yachayniyoq.	profesional.
yachay wasi.	escuela.
yachay wasi.	colegio.
yachay wasi.	universidad
yakunayay.	sed.
yakunayay.	tener sed.
yakunayay.	estar sediento.
yaku papa.	papa mojada.
yakuta apamuy.	trae agua.
yankikuy.	trocar.
yanakuna.	esclavos.
yanakuna.	oprimidos.
yanakuna.	criados.
yanakuna.	esclavos.
yanakuna.	esclavos.
yana.	negro.
yana.	obscura.
yana.	negra.
yanapanakuy.	auxiliarse.
yanapanakuy.	socorrerse.
yanapanakuy.	ayudarse.
yanapay.	ayudar.
yanapay.	auxiliar.
yanapay.	cooperar.
yanapay.	servir.
yanapay.	apoyar.
yanapay.	socorrer.
yanapay.	ayudar.
yankikuy.	intercambiar.
yanqa.	inútil.
yanqa.	en vano.
yanqa.	tonto.
Yanqataq!	¡Cuidado!
Yanqataq!	¡Atención!
yanuq.	cocinero.
yanuq.	cocinera.
yanuy.	cocinar.
yanuy.	sancochar.
yanuy.	guisar.
yapa.	de nuevo.
yapa.	otra vez.
yapa.	añadidura.
yapa.	aumento.
yapa.	agregado.
yapa.	suplemento.
yapay.	adicionar.
yapay.	agregar.
yapay.	sumar.
yapay.	añadir.
yapa-yapa.	a menudo.
yapa-yapa.	repetidamente.
yapuq.	campesino.
yapuq.	arador.
yapuq.	labrador.
yapuy.	arar.
yapuy.	arar la tierra.
yapuy.	roturar.
yaqa.	casi.
yakulla.	capa.
yakulla.	mantón.
yakulla.	manto.
yakulla.	manta.
yarayma.	estrofa.
yarqay.	hambre.
yarqay.	apetito.
yarqay.	hambriento.
Yaw!	¡Eh!
Yaw!	¡Oye!
Yaw!	oiga!
Yaw!	¡escucha!
yawar.	sangre.
yawri.	aguja grande.
yawri.	agujón.
yawri.	aguja gruesa.
yaya.	dios.
yaya.	sabio.
yaya.	mayor.
yaya.	sacerdote.
yaya.	cura.
rantikuy.	vender.
ruyaq.	albo.
Yayayku.	Padrenuestro.
yaykuy.	entrar.
yaykuy.	adentrarse.
yaykuy.	penetrar.
yaykuy.	ingresar.
yaykuy.	caber.
yaykuy.	inundar.
yaykuy.	pasar dentro.
yugu.	yugo.
yunka.	yunga.
yunta.	yunta.
yunta.	arado.
yunta.	amigos.
yupay.	contar.
yupay.	enumerar.
yupay.	numerar.
yupay.	aumentar.
yupay.	calcular.
yupaychay.	agradecer.
yupaychay.	honrar.
yupaychay.	alabar.
yupaychay.	adorar.
yupaychay.	venerar.
yupaychay.	ensalzar.
yupaychay.	valorar.
yupi.	huella.
yupi.	pisada.
yupi.	pista.
yupi.	rastro.
yura.	planta.
yuraq.	blanco.
yutu.	perdiz.
yuyay.	recordar.
yuyay.	memorar.
yuyay.	pensar.
yuyay.	suponer.
yuyay.	idear.
yuyay.	imaginar.
yuyay.	expectar.
yuyu.	hortaliza.
yuyu.	verdura.
yuyu.	hierba.
yuyu.	yuyo.
Yachaqamunki.	Aprenderás.
Sisichamanta.	Hormiguita.
Takisun.	Cantemos.
Tiyaychik.	Asiento.
Uyariychik.	escuchen.
Kutichiychik.	Repitan.
¡Upallaychik!	¡Cállense!
Imamanta.	De qué.
Sayariychik.	De pie.
Tutayay.	Anochecer.
Agustu.		Agosto.
Aka tanqa.	Escarabajo.
Akana wasi.	Letrina.
Riqsisqa.	Conocido.
Aqayay.	Avinagrarse.
Mayllakuy.	Lavarse.
Nuyuchiy.	Remojar.
Tawa chaki.	Cuadrúpedo.
Aycha mikuq.	Carníboro.
Aycha kuchuq.	Carnicero.
Mana qaway atina.	Microscópico.
Ñawpaq.	Adelante.
Chiri sunqu.	Indiferente.
Chiri sunqu.	Insensible.
Sapan churi.	Unigénito.
Sapan churi.	Unigénita.
Chuya sunqu.	Honesto.
Qacha.	Sucio.
Tanqay.	Empujar.
Uchuy.	Pequeño.
Qunqay.	Olvidarse.
Suyay.	Esperar.
Taqtay.	Echar.
Wischuy.	Botar.
Huñunakuy.	Reunirse.
Rakiy.	Separarse.
Sapanchakuy.	Aislarse.
Mana ima.	Nada.
Uhu.	Tos.
Chaki ñan.	Sendero.
Karu ñan.	Carretera.
Ñan.	Camino.
Mana kasuy.	Desobedecer.
Harwi.	Granos.
Qayna punchaw.	Ayer.
Hamuq pacha.	Futuro.
Qayna punchaw.	Ayer.
Achikyay.	Amanecer.
Llantuy.	Ensombrecer.
Yanayay.	Oscurecerse.
Kañakuy.	Incendiarse.
Rupachiy.	Prender fuego.
Llipyay.	Relampaguear.
Llamkaq.	Trabajador.
Llipyay.	Relampaguear.
Musuq.	Nuevo.
Mana ñawiyuq.	Analfabeto. 
Mana piniyuq.	Huérfano.
Manchachiku.	Fantasma.
Manuy.	Dar fiado. 
Manuyla.	Manuela. 
Manwil.	Manuel.
Marsilina.	Marcelina.
Marsilu.	Marcelo. 
Marsu. 	Marzo.
Marya.	María.
Maryanu.	Mariano.
Manka.	Olla.
Nawaru.	Navarro.
Ñawsa.	Ciego.
Puquy pacha.	Otoño.
Wischuy.	Perder.
Ramun.	Ramón.
Ransis.	Francés.
Ransisku.	Francisco.
Ransiya.	Francia.
Taytalláy.	Oh, Dios mío.
Taytaku.	Anciano.
Taytacha.	Dios.
Uray.	Abajo.
Saqiy.	Abandonar.
Simi. 	Abertura.
Tuma. 	Abertura.
Kichay. 	Abrir.
Panchiy.	Abrirse.
Sinchi.	Abundante. 
Chaskiy. 	Aceptar.
Yarqa.	Acequia.
Asuy. 	Acercarse.
Willay. 	Acusar.
Aruwi. 	Adobe.
Runa. 	Adulto.
Waylluy.	Afecto.
Hawa.	Afuera.
Aptiy.	Agarrar. 
Aptay.	Agarrar. 
Timpuy.	Agitarse.
Agustu.	Agosto.
Yaku.	Agua.
Chirli.	Aguado.
Ullu. 	Aguijón.
Ñawchi.	Agusado.
Kunan. 	Ahora.
Tuquy. 	Ahuecar.
Chunniq. 	Aislado.
Uchu. 	Ají.
Tiquy.	Ajustar.
Rapra. 	Ala.
Alwirtu.	Alberto.
Taripay.	Alcance.
Hayway.	Alcanzar.
Haypay.	Alcanzar.
Kusiy.	Alegrarse.
Asuy.	Alejarse.
Ripuy.	Alejarse.
Rapapapay.	Aletear.
Alwunsu.	Alfonso.
Alisya.	Alicia.
Samay.	Aliento.
Mikuchiy.	Alimentar.
Qaray. 	Alimentar.
Allichakuy.	Alistarse.
Samachiy.	Alojar.
Samay.	Alojarse.
Muyuriq.	Alrededores.
Hatun.	Hatun.
Sayay.	Altura.
Alumnu.	Alumno.
Wayna.	Amada.
Yana.	Amado.
Achiyay.	Amanecer.
Achikyay.	Amanecerse.
Kuyay.	Amar. 
Qillu.	Amarillo. 
Amigu.	Amigo.
Muntuy.	Amontonar.
Yapay.	Añadir.
Ankach.	Ancach. 
Kinray.	Anchura.
Puriy. 	Andar.
Andris. 	Andrés.
Wantu. 	Angarillas.
Anhil. 	Ángel.
Uywa. 	Animal.
Uchkiti. 	Ano.
Ansilmu. 	Anselmo.
Qayna. 	Antes. 
Wata. 	Año.
Wachay. 	Aovar. 
Wañuy.	Apagarse.
Llakiy. 	Apenarse.
Ñitiy. 	Aplastar.
Hikutay. 	Apremiar.
Utqay. 	Apurarse.
Wak. 	Aquel. 
Kaypi. 	Aquí.
Chakitaklla. 	Arado de pie.
Taklla. 	Arado.
Achpiy. 	Arañar.
Aspiy.	Arañar.
Yapuy. 	Arar. 
Sacha.	Árbol.
Aqu. 	Arena.
Arhintina. 	Argentina. 
Arika. 	Arica. 
Tipiy. 	Arrancar.
Qaykuy. 	Arrear. 
Qichuy.	Arrebatar.
Hanaq.	Arriba.
Liwiy.	Arrojar.
Sirka.	Arteria.
Rinri. 	Asa.
Kanka.	Asado.
Hina. 	Así.
Pata.	Asiento.
Hapiy.	Asir.
Manchakuy. 	Asustarse.
Watay. 	Atar.
Kichkipakuy. 	Atorarse.
Hapiy. 	Atrapar.
Pisqu.	Ave.
Ananaw.	Ay. 
Ayakuchu. 	Ayacucho.
Minkakuy. 	Ayuda.
Yanapay. 	Ayudar.
Lampa.	Azada.
Miski.	Azúcar.
Anqas.	Azul.
Tusuy. 	Bailar.
Uray.	Bajar.
Armakuy. 	Bañarse.
Waratu.	Barato.
Sapra. 	Barba.
Achachallawya. 	Barbaridad.
Pichay. 	Barrer.
Mitu. 	Barro.
Siki. 	Base.
Tanwa. 	Bastón.
Maray.	Batán.
Wawa.	Bebé.
Upyay. 	Beber.
Upyay. 	Bebida.
Chiwanway. 	Bermellón.
Muchay. 	Besar.
Allin.	Bien.
Sapra. 	Bigote.
Yuraq. 	Blanco.
Simi.	Boca.
Sumaq. 	Bonito.
Waqta. 	Borde.
Wischuy. 	Botar.
Buynas tardis. 	Buenas tardes.
Miski.	Bueno.
Anri.	Bueno.
Buyis. 	Buey.
Buwis.	Buey.
