abaspa tuktun.	flor de haba.
Punchuchaymi chinkarqun, kay tiyanallapim saqiykurqani pukllarinaypaq. ¿Pitaq suwarqullawan?	Punchuchaymi chinkarqun, kay tiyanallapim saqiykurqani pukllarinaypaq. ¿Pitaq suwarqullawan?
Urqu wasanpim chinkaykun pisquqa.	El pájaro desapareció detrás de la montaña.
Yunkapi runakunaqa mikunkum chipi aychata.	Los hombres de la selva comen carne de mono.
Inti kanchimuptinqa quchakunam sumaqllataña chipipipin.	Cuando el sol brilla, los lagos destellan muy lindo.
Wallpaykunaqa wakin lliw yana, wakin puka. Wakinqa chiqchi, pukaraq, yanaraq, yuraqraq; ancha sumaq kanku.	Una parte de mis gallinas son completamente negras, otras son rojas. Una parte son manchadas,tienen partes rojas, partes negras, partes blancas; son muy bonitas.
Qayna wataqa, tawa chunka chiqta papatam huñurqani sallqapi, qichwapiñataq pachak sara chiqtata.	El año pasado coseché cuarenta chiqtas de papas en la puna y cien chiqtas de maiz en la zona de clima templado.
Mankachayta chiqtarqun wak chikachachaq rumiwan.	Destrozó mi olla con esa tremenda piedra.
Urqukunapiqa anchatam chirin.	En las montañas hace mucho frío.
¡Alaláw, alalalláw!, kay llaqtapiqa anchatam chirisqa.	¡Qué frío, oh, qué frío!, en este pueblo hace mucho frío.
Kawitaqa chirlillatam upyana, manachayqa taspirirquwachwanmi.	El café se debe beber solamente ralo, de otro modo puede ponernos nerviosos.
Chitachayqa ñuqapa qipallaytam maytapas rin, waqtallaypim puñunpas.	Mi pequeña oveja me sigue a donde fuera que voy, incluso duerme a mi lado.
Kuchinillaqa chiwanway ukuyuqmi.	La cochinilla es muy roja por dentro.
Qilluy-qilluy.	Amarillo intenso.
Yanay-yanay.	Muy negro.
Yuraq-yuraq.	Muy blanco.
Chirimuptinqa chilakyaspam chiwchichakuna mañakunku mamanta uqllachikunankupaq.	Cuando hace frío, los pollitos piando piden a sus madres para ser calentados bajo sus alas.
Yaw chiwchi, ama kaypi kallpakachaychu.	Oye niño, no corretees por aquí.
Chukchaqa umanchikpim aswanta wiñan, qasqunchikpipas, marqananchikpipas kantaqmi.	El pelo nos crece más en la cabeza pero también tenemos en el pecho y los brazos.
sara chukcha.	Cabello de la mazorca de maíz.
Chukchuqa manchaymi quñi yunkakunapi kan.	Hay mucha malaria en las cálidas selvas.
Chay anqarapi chukuychukuytam sarataqa tupuwanayki, tunasniy qunayta munaspaqa.	Tienes que medirme una porción de maíz que llene completamente ese tazón grande si deseas que te dé mis tunas.
Allquchakunataqa uñachanmantapunim uwihata ñuñuchina sumaq chuli kananpaq.	Los perros tiene que mamar ovejas desde que son muy tiernos para que sean buenos perros pastores.
Chapu allqu.	Perro lanudo.
Musya allqu.	Perro alerta.
Yanaymi awapuwarqa kay sumaq chumpita.	Mi amada tejió este cinturón para mí.
Ñuqaqa chumpi punchutam munani.	Yo quiero un poncho marrón.
Chunniq ñankunapis nakaq kan.	Dicen que en caminos solitarios hay asesinos.
Chuñu ruwanapaqqa papata kimsa punchaw saqina qasapi hinaspa yakun qapina, chaymanta chakichina.	Para hacer chuño hay que exponer las papas a la helada durante tres días, luego hay que exprimir el jugo y, finalmente, hacerlas secar.
Wakakunaqa ckupankuwanmi manchachinku chuspikunata wasankupi tiyarquspa churmichaptinku.	Las vacas espantan con la cola a las moscas cuando se posan en su lomo y las molestan.
Chupankuwanmi urpitukunaqa pawaspa, alliqman, ichuqman, muyuyta atinku.	Al volar, la cola permite a las aves, girar a la derecha o a la izquierda.
Alliq chupaypim allqu kachurquwarqa hinaptin qiyayarqun.	Un perro me mordió en la pantorrilla derecha y se me infectó.
Kay lliw siqilla sayaq runakunapa chupanpim kachkan wawachallay.	Mi hijo está al fin de esta hilera de hombres.
Ñawpaqpi kaq.	El primero.
Achka rikchaq yakusapa yanusqa mikuna, papayuq, aychayuq, yuyuyuq utaq imapas kay hina miskichiqniyuq.	Un tipo de comida preparada con bastante líquido, que a veces contiene papa, carne, verduras o algún otro ingrediente de este tipo.
Sapa achikyaytam quñi chupichata upuykuspa runakunaqa chakrankuta pasanku llamkaq.	Todas las mañanas, los hombres van a sus chacras a trabajar luego de tomar una sopa caliente.
Quruntallantinraq llullu sara, yanurquspa miskillaña mikunapaq.	Mazorca de maíz tierno, saborosa para comer una vez cocida.
Yuranmanta qiwiykuspalla, panqanta chutuykuspa, chukchanta chutapaykuspapunilla timpuykachisqa chuqlluqa ancha sumaqtam qapan, ancha sumaqtaq kachuykunapaq.	El choclo, inmediatamente después de ser cosechado de su planta, quitado la panca, limpiado los pelos y hervido, huele muy bien y es magnífico para comer.
Tiqu walicha.	De falda ajustada.
Imatapas maypipas takyaykachispa saqiykuy.	Dejar algo, puesto en algún sitio.
Misa hawanmanmi churarqani liwruyta, ¿pitaq kuyurqachin?	Puse mi libro sobre la mesa, ¿quién lo retiró?
Imapas munasqanchik huk punchaw maskarinapaq waqaychay.	Guardar algo necesario para tenerlo en el futuro.
Kay wakin mikunaytam churakusaq ratuman mikukunaypaq.	Guardaré parte de mi comida para comerla más tarde.
Hukpa kapuynin kutichipunallapaq waqaychariy.	Guardar algo ajeno para devolverselo oportunamente.
Qullqiykita churasaq hamuq killa pacha rantikunaykipaq.	Guardaré tu dinero para que el próximo mes te compres tu ropa.
Taytamanta chayna sutichasqa runa.	Persona llamada así, en relación al padre.
Tayta Ransiskupa churinkunapa sutinqa Maryawan Husiymi.	Los nombres de la hija y el hijo del Sr. Francisco son María y José.
Imatapas quqariykuspa, imapapas hawanman tiyachiy.	Colocar algo sobre alguna otra cosa.
Utqayman chay kullukunata churkuychik rumikunapa hawanman, pampapi saqirquptinchikqa ismurqunqam parawan.	Coloquen rápido esos troncos sobre las piedras, si los dejamos en el suelo se pudrirán con la lluvia.
¿Haykataq tawamanta tawata qichuptiyki?	¿Cuánto es cuatro menos cuatro?
Paquqa chusaqmanta rikurichin urpaykunata.	El mago hace aparecer palomas de la nada.
Lima, Piruw suyu umalliq llaqtapa hichpallanpi kaq huk llaqtapa sutin.	Nombre de un pueblo ubicado muy cerca a Lima, la capital del Perú.
Imatapas sumaq takyasqa kasqanmanta kallpallawanña kuyuchiy, utaq kuyuchiy munay.	Remover o intentar remover algo, con fuerza, del lugar donde estuvo sólidamente fijado.
Chutarqusaq wak qurata manachayqa lliwmi tarpuyninchikta mikurqunqa.	Sacaré esa hierba, de lo contrario va a cubrir todo nuestro plantío.
Imatapas tukuyninmanta qallariyninmantawan hapiykuspa kallpawan kayman wakman wiñachiy.	Aumentar la longitud de algo fijando sus extremos y aplicando fuerzas opuestas.
Chumpintam chutachkan iskay kutita wiqawninman arwikuykunanpaq.	Está estirando su chumpi para ponérselo en la cintura en doble vuelta.
Karuraqmi wasin kachkan, chaymi utqayman chutachkan, param hamukuchkan.	Su casa está todavía lejos, por eso va a trancos largos, la lluvia está próxima a caer.
Aruwita ruwaspa, siqillata pampapi mastay.	Hacer adobes y extenderlos en hileras.
Hatun pirqatas hatarichinqaku, chaypaqsi waranqa aruwita chutarqunku.	Dicen que van a levantar una pared grande, para eso han hecho mil adobes.
Sallqapi yachaq runa, mistikuna kaynata sutichanku chiqnipakuspanku.	Gente que vive en las punas, los mestizos la llaman así por desprecio.
“Chutu” nispa tratawaptinmi llakipayaniraq, asipayaniraq wak runata.	Cuando ese hombre me insulta llamándome “chutu,” siento pena por él y, al mismo tiempo, me río de él.
Chutukurquni siquyniyta, siwiyta ima chakiy makiy aywikunaypaq.	Me quité las sandalias y mi anillo para lavarme los pies y las manos.
Kawrakunapa qarantas chutunku udri ruwanankupaq.	Dicen que desuellan a las cabras para fabricar odres.
Pipapas pacha churakusqan qichuy.	Arrebatar la vestimenta llevada puesta.
Yaw, qara uya runa. Punchuykitam chuturqusqayki mana qullqiy qusqayta kutichiwaptiykiqa.	Oye, hombre sinvergüenza. Te voy a arrebatar el poncho si no me devuelves el dinero que te presté.
Mana imawanpas chaqrusqa, mana qachachasqa.	Sin mezcla, sin suciedad.
Pukyukunapiqa chuyallañam yaku pullpumun.	En los manantiales el agua mana muy limpia.
Chakinchikpi chunka riruyuq, makinchikpi chunka riruyuqmi runaqa kanchik.	La gente tiene diez dedos en los pies y diez dedos en las manos.
Wakin uywakunapas riruyuqmi kanku.	También algunos animales tienen dedos.
Chawpi didu.	Dedo cordial.
Maman didu.	Dedo Pulgar.
Siwi didu.	Dedo Anular.
Tuksiq didu.	Dedo Indice.
sullka didu.	Dedo Meñique.
Simanatpi samana punchaw.	Día de descanso semanal.
Chawpi punchaw, llamkaymanta samana pacha.	Medio día, momento de descanso en la jornada del día.
Dusiñam, samarisunchikña.	Ya son las doce, tomemos un descanso.
Chawpi punchaw mikuy.	Comida del medio día.
Dusinchikta mikuykusunchik.	Comamos nuestro alimento de medio día.
Imatapas rantispa qullqi mirmachiy.	Disminuir el dinero comprando algo.
Llumpaytañam gastarqunchik, manañam imatapas rantisunñachu.	Ya hemos gastado demasiado, ya no podemos comprar nada más.
Kamachikuspa, runakunapa allin kawsaynin qawaq.	La entidad que norma en favor del bienestar de la gente.
“Qawachkankichu wardiya siwilta, gubyirnu pachachallawan pachakuykuspa runa waqachiqta.” (Taki)	Ve al policía, vestido con el uniforme del gobierno, hacer sufrir al pueblo (Canción).
¿Gustasunkichu chuqllu?	¿Te gusta el choclo?
Arí,anchatam gustawan.	Sí,me gusta mucho.
Anchatam gustawan chay takicha, ¿yacharqachiwankimanchu?.	Me agrada mucho esa canción, ¿me la podrías enseñar?.
Sumaq chuñu pasita qaraykuptiy, wischupakun mikunayta, “chaytaqa manam mikunichu”, nispa.	Cuando le invité un magnífico chuñu cocido, lo despreció y dijo que no comía tal cosa.
Hakuchik wasinchikta, pararqamunqañam.	Vamos a casa, ya va a llover.
Arí, hakuña, nuyurquwachwanmi.	Sí, vámonos ya, nos podemos mojar.
Sarata hamkarqusaq quqawninchikpaq, rihutapas hamkasaq chamcharquspa chupikurqunapaq.	Tostaré maíz para nuestro alimento de camino, también trigo para partirlo y hacer sopa.
Unqusqakuna hampiwan allinyachiy.	Curar con medicinas a personas enfermas.
Kay wiksa unquyniytam hampiwachkanku tukuy rikchaq timpu qurawan.	Me están curando la enfermedad del estómago con infusión de diferentes tipos de hierbas.
Qarachupakunatam hampirqusaq ama tuta wallpanchik wañuchinanpaq.	Voy a envenenar a las zarigüeyas para que no maten a nuestras gallinas por las noches.
Wak runallataqa chiqnikuspankus hampirqunku suchu kananpaq.	Dicen que han embrujado por odio a ese pobre hombre para hacerlo inválido.
Maymantapas rimaqpa kasqanman kuyuy.	Moverse de algún lugar hacia el lugar donde está el hablante.
Llaqtaymanta hamurqani qayna wata.	Vine de mi pueblo el año pasado.
Chunka watañam llaqtaymanta hamusqay.	Hace diez años que vine de mi pueblo.
Maypas wichaypi kaq.	Lugar ubicado en la parte alta.
Wasiytaqa hanaqpim ruwakusaq mana lluqlla apananpaq.	Construiré mi casa en la parte alta, de modo que los torrentes no la destruyan.
Makipi imatapas takyachiy.	Tomar algo en las manos.
Hapiykuy kay wayaqata siminta kicharispa, papa hinanaypaq.	Agarra, por favor, este saco y ábrelo para poner papas en él.
Urpayta hapirqamuni, kankakurqusun.	Atrapé una paloma, vamos a asarla.
Chay papata hapiyta munaspaykiqa, pagawayña.	Si desea compar esas papas, págame ya.
Unquywan ñakariy qallaykuy.	Coger una enfermedad.
Uhu hapirquwan, ¿imawantaq hampikusaq?	Me cogió el resfriado, ¿con qué me curo?
Umanchikpi sumaqta hamutaspa ima yuyaypas takyachiy.	Retener ideas en la mente mediante el raciocinio, entender.
Manam chay nisqaykita sumaqtachu hapini, manachu kutipaykuwaq.	No he entendido bien lo que dijiste, ¿podrías repetir?.
Chakra llamkaypi, huk quchukuy punchawkunapipas takiy.	Cantar durante el trabajo de campo o también durante otros días de alegría.
Paniykunam harawinqaku chakraykita tarpuchiptiyki.	Mis hermanas cantarán cuando hagas sembrar tu chacra.
¿Pikunataq harawinqaku kasarakuptiyki?	¿Quienes cantarán cuando te cases?
Harkarqani chay takanakuqkunata hinaptin ñuqatapas takaparquwanku.	Traté de impedir una pelea a puños y resulta que también a mí me golpearon.
Qapaq arariwaqa, qapaq makinwansi huk chikachachaq wikapakamuchkaq kuchpata harkarqusqa mikuykuna ñuturqunanmanta.	Dicen que un poderoso arariwa, con sus poderosos brazos detuvo una enorme galga que caía y así salvó las sementeras de ser destruidas.
Rihuta harwiykusaqku, chupicha yanuykapuwanaykikupaq, ¿allichu?.	Tostaremos ligeramente trigo para que nos prepares sopa, ¿está bien?.
Qari sapanchaq suti.	Nombre propio de un varón.
Pipapas allin kawsaynin sumaq qaway.	Velar por el buen vivir de alguien.
Churinchikkunataqa sumaqtam hatallina.	Debemos mantener bien a nuestros hijos.
Sunquypim hatalliyki.	Te llevo en el corazón.
Piskaypim qullqiyta hatallini.	Gurardo mi dinero en mi cartera.
Gallu punta waqayninwanmi ñuqaqa hatarini llamkaq rinaypaq.	Me levanto para ir a trabajar con el primer canto del gallo.
Hatariykuy tiyanaykimanta, ama hina kaspayki.	Por favor, levántese de su silla.
“Hatariy, Elme, puñunkiraqchu, / wañuy puñuychu hapillasunki” (taki).	Levántate, Elme, ¿todavía duermes? / ¿te ha dado el sueño de la muerte? (canción).
Tupac Amaru hatarirqa llaqta masinkuna qispichinanpaq.	Tupac Amaru se rebeló para liberar a su pueblo.
Wak hatun rumitam qurqusunchik chakranchikmanta.	Vamos a sacar esa piedra grande de nuestra chacra.
Tupaq Amaruqa hatun runam karqa.	Tupac Amaru fue un gran hombre.
Hatun sachatam kuchurqusqaku.	Cortaron un árbol grande.
Ñuqamanta aswan hatunmi wawqiyqa.	Mi hermano es más alto que yo.
Ukumarikunaqa, chikan karay, manchakuypaqmi kanku.	Los osos son enormes, temibles.
Chikan karay urqu wichikaykamun.	Un cerro enorme se cayó.
Tayta Tiwursiyuqa hatun karay runam.	El señor Tiburcio es un hombre alto.
Hatuchachaq qucham Titikakaqa.	El Titicaca es un lago muy grande.
Mana ukupi kaq.	Lo que no está adentro.
Hawapiqa llumpaytam chirin.	Afuera hace mucho frío.
“Hawan akakaw, ukun añallaw.” (Watuchi).	Espinoso por fuera, delicioso por dentro (Adivinanza).
Hawan killa/simana kutimusaq.	Volveré el siguiente mes/la siguiente semana.
Chay tiqtiykiqa qalluytam pasaypaqta hayarqun, ¿ima rikchaq uchuwantaq yanukurqanki?	Ese guiso tuyo me picó mucho la lengua, ¿qué tipo de ají usaste?
¿Hayka runataq kay llaqtapi kan?	¿Cuántas personas hay en esta ciudad?
¿Haykataq qatin tawaman?	¿Qué sigue a cuatro?
¿Haykapitaq chanka runakuna kawsakurqaku kay llaqtakunapi?	¿Cuándo vivieron los chancas en estos pueblos?
Pachamanta tapukunapaq simi.	Palabra empleada para preguntar acerca del tiempo.
¿Haykapitaq kutichiwanki sara muhu manusqayta?	¿Cuándo me devolverás la semilla de maíz que te presté?
¿Haykapitaq rantikuyta munanki chay punchuta?	¿Qué precio pides por ese poncho?
¿Haykaynataq runakuna kanan kachkan kay pachanchikpi?	¿Cuánta gente aproximadamente existe hoy en nuestro mundo?
Imapas karupi kachkaqta hapirquy utaq karupi kaqman chayarquy.	Obtener algo que está lejos o dar alcance a alguien o algo que está lejos.
Sachallanpiraq sumaq lukmatam ñakayta hayparquni sachaman lluqarquspa.	Logré alcanzar con mucha dificultad, subiéndome al árbol, una lúcma magnífica.
Unkuykiqa ñuqamanpas haypawanmi, kamasllaymi kasqa.	Tu camisa, también a mí me queda, resultó ser de mi tamaño.
Chay puyñupiqa as yakullam haypanqa, aswan achkatam munanchik.	Ese cántaro será suficiente sólo para una cantidad pequeña de agua, necesitamos mucho más.
Tayta Ansilmuqa animalninkunatas haypunqa churinkunaman, payqa manañas hatalliyta munanchu.	Dicen que el Sr. Anselmo va a distribuir sus animales entre sus hijos porque él ya no los quiere criar.
Papa haytarquwan.	La papa me ha empalagado.
Asnukuna haytapanakuchkanku, wañu imanarqachikunqaku.	Los burros se están dando de coces a lo mejor se matan.
Imatapas haypanallaman churay.	Poner algo en un lugar alcanzable.
Kay llamkanata haywaykuy paykunaman.	Alcanza esta herramienta a ellos.
¿Haywaykurqankichu chicharuta mama Asuntaman? Pay apachimuwarqanchik qacha yakuta sapa punchaw.	Compartiste el chicharrón con la Sra. Asunta? Ella nos mandó diariamente comida para el cerdo.
Chaylla imatapas ruwanapaq mañay, kamachiy.	Ordenar o pedir para hacer algo inmediatamente.
Sapa punchawmi hikutani wak runata pirqa ruwapuwananpaq, manataq kanankama llamkayta qallarinchu.	Exijo todos los días a ese hombre para que me construya una pared pero no ha empezado a trabajar hasta este momento.
Imamanpas rikchakuq.	Parecido a otra cosa.
Runakunaqa sisi hinam mirachkanku.	Los hombres se reproducen como hormigas.
Hinam allqukunqa anyakachanku.	Así son los perros, ladran bastante.
Hinam payqa, ama manchakuychu yanqallam chayta rimachkan.	El es así, no te preocupes dice eso en vano.
¿manachu kay kulluta wanturqapuwankichikman?	¿No podrían hacerme el favor de mover este tronco?
Ama hina kaychu, yacharichiway runasimi rimayta.	Por favor, enséñeme a hablar quechua.
Hina tuta tupani huk qariwan, huk warmiwan.	A pesar de que era de noche me encontré con un hombre y una mujer.
Hina hatunta atipani.	A pesar de que era grande lo vencí.
Hina pasachun, hina ripuchun chay urpi, Paychum yacharqa, kuyachikuyta ñuqawa. (Taki).	Dejen que se vaya esa paloma, dejen que se vaya esa paloma, ¿Fue ella capaz de hacerse querer conmigo? (Canción).
Hinallam kachkan.	Está igual.
Mikunaykiqa hinallam kachkan, manam pipas tupaykunchu.	Tu comida está intacta, nadie la ha tocado.
Wak maqtaqa hinallañachuqaya; uchuy wawachayta maqarqusqa.	Ese cholo es capaz de todo; ¡pegó a mi pequeño hijo!.
Hinallapim puñuchkasqa misinchikqa, manam kuyurisqachu.	Nuestro gato está aún durmiendo en el mismo sitio, no se ha movido.
Hinapi kanki, yanqataq lluqsirquwaq mana kaypi kanaykama.	Quiero que estés aquí, no vayas a salir mientras yo esté fuera.
Hinapas kachun.	No me importa.
Hinapas kachun mana kuyawaptiykiqa.	No me importa si no me quieres.
¿Achikyaqtachu llamkaq rinayku?	¿Tenemos que ir a trabajar al alba?
Hinapunim.	Sin duda.
Hinata.	De todos modos.
Hinata rantikurquway chay kuchiykita, qullqi qusqaywan hukta maskakarqamunki.	Pues véndame su cerdo, con el dinero que le pague, conseguirá otro.
Yachasqaykiman hina yachachiwanki.	Me enseñas a medida que aprendas.
Chakiy nanawachkan waqtarquwankumanpas hina.	Me está doliendo el pie como si me hubieran golpeado.
Nisqapi hina.	De acuerdo a lo dicho.
Nisqapi hina.	Como lo que fue dicho.
Nisqaykipi hina, paramuchkan.	De acuerdo a lo que dijiste, está lloviendo.
Chay pachaqa ñuqapaq hina kasqa.	Esa ropa es como para mí.
Qawaykacharikuq hina, sacha sikinpi samaykusaq.	A modo de contemplar el panorama, descansaré debajo de este árbol.
Llamkasqanman hinam mañan.	Cobra de acuerdo a la duración de su trabajo.
Tukuy hinasninpi.	En todas partes.
Rimanakurqaku manchapakuymanta hinaspa qawaykachinakurqaku imaynam harkapakuymanta.	Hablaron sobre la situación peligrosa y se pusieron de acuerdo cómo enfrentarla.
Imatapas ukuman yaykuchiy.	Colocar algo dentro de otra cosa.
Mituta kaklluman hinasunchik ama chiri wayra yaykumuwananchikpaq.	Metamos barro a la rajadura para que el viento frío no penetre hasta nosotros.
Imatapas hatunyachiy, sinchiyachiy, chaqruy.	Incrementar en cantidad o tamaño, mezclar.
Qillu uchuta hinaykuy tiqtiykiman.	Pon ají amarillo a tu guiso.
Chutaparikuspa chakinchikpa umachallanpi sayay.	Estirarse y mantenerse parado solamente en las puntillas de los pies.
Hinkispa, pawaspapas manam haypawaqchu wayuchipi mikuytaqa.	Ni empinándote ni saltando puedes alcanzar la comida guardada en la canasta colgante.
Ñawpaqpi kaq yupana.	El primer número.
Hukchu llamkayta atinki wawayuqqa.	Apenas si podrás trabajar con tu bebé.
Huk-hukllamanta.	Uno por uno.
Huk-hukllamanta yaykumuychik.	Entren uno por uno.
Manam llaqtaykitachu, huk lawtam richkani.	No voy a tu pueblo, voy a otro lugar.
Hukllataña.	De una vez por todas.
Hukllataña rimariy, amaña pakawaychu ruwasqaykita.	Habla de una vez por todas, no me escondas más lo que hiciste.
Hukllawarqusun llamaykikunata, llamaykunawan.	Juntemos tus llamas con las mías.
Hukmanmi kachkani.	Me siento extraño.
Huknin buwistam ñuqaqa munani, manam kay machutachu.	Quiero el otro buey, no este viejo.
Huknin warmakunaqa manam munankuchu hamuyta.	Los otros jóvenes no quieren venir.
Imapas mana allin riqsisqamanta rimarinapaq simi.	Palabra empleada para mencionar algo no claramente conocido.
Huk runam hamuchkan.	Viene un hombre.
Manam paytachu munani, huktam.	No necesito a él, necesito a otro.
Huk sallqa wasipi yachani.	Vivo en una casa, en la puna.
Imapas rimasqanchikman mana rikchakuq.	Algo distinto de aquello que se menciona.
Kaytaqa manam munanichu, huktam munani.	No quiero esto, quiero otro.
Kiruyki nanasuptiykiqa hukchu mikuyta atinki; mana mikuspaykiqa hukchu llamkanki.	Si te duele el diente difícilmente podrás comer; si no comes difícilmente trabajarás.
Huk lawllaman apankichik chay yantata.	Lleven la leña a un solo sitio.
Huk lawllapi huñunakunkichik.	Reúnanse en un solo sitio.
Huk lawllamantam chay miskitaqa apamunku.	Esos dulces traen de un solo lugar.
Imatapas yapa ruwaymanta rimanapaq simi.	Palabra usada para hablar acerca de hacer algo una vez más.
¿Manachu chay chayta yachaykachiwankiman huktawan, ama hina kaspa?	¿No podría, por favor, explicarme una vez más ese tema?
Achka kutita.	Muchas veces.
Achka kuti rirqani wasiykita.	Fui mucha veces a tu casa.
Hukllata.	Una sola vez.
Hukllatam chayta nisaq.	Diré eso sólo por una vez.
Hukllataña.	De una vez por todas.
Hukllataña rantirquway wasiyta, amaña llumpayta suyaychu.	Compra mi casa de una vez por todas, no esperes mucho.
Qari sapanchaq suti.	Nombre propio de un varón.
Imapapas ukunpi, manaña imapas kamananmanta rimanapaq simi.	Término empleado para expresar que un envase no puede contener más.
Wasi huntam runakuna quchukuypi kachkanku, sapakama qiru huntata aqata upyanku kusisqallaña.	Gente, repleta en la casa, está en una fiesta, cada una bebe vasos llenos de chicha.
Makin huntata kukata quwarqa.	Me dio una mano repleta de coca.
Churana lliw kamayninman imayuqpas kay.	Estar, un envase, lleno en toda su capacidad.
Chay maqmaqa achka yakuwanmi huntan.	Ese tinojón necesita bastante agua para estar lleno.
Chiqisqa, rakisqa kaqta kuskanchay.	Juntar cosas que estuvieron esparcidas, separadas.
Chay pampapi wischurayaq rumikunata huñusunchik.	Reunamos las piedras que están tiradas en el campo.
Animalkuna utaq runakuna kuskanchay.	Juntar animales o personas.
Tayta Navarro huñun uwihankunata qaparispallam.	El señor Navarro junta a sus ovejas solamente gritándoles.
Tarpuykuna quqariy.	Recoger los frutos de los sembríos.
¿Haykapitaq huñusunchik saranchikta?, ñam chakiña kachkan.	¿Cuándo cosecharemos nuestro maíz?, la plantación ya está seca.
Imatapas maymi tiyasqanmanta wantuspa suchuchiy.	Mover algo de su lugar de reposo, levantándolo.
Ñakayta huqarirqaniku wak kulluta wasi qatachanaykupaq.	Levantamos ese tronco con mucha dificultad para techar la casa.
Imatapas hina kasqallanpi, hanayman kuyurichiy.	Mover algo hacia arriba sobre su punto de reposo.
Huqariy umaykita, ama pampata qawaychu.	Levanta la cabeza, no mires el suelo.
Imatapas ukupi kasqanmanta hawaman suchuchiy.	Retirar algo de adentro hacia afuera.
Kichka yaykurquwan makillayman, hurqurqullaway.	Una espina se me metió en la mano, sácamela, por favor.
Imatapas hinapi kasqanmanta kuyuchiy.	Mover algo de su lugar.
Chay rakta pachaykita hurqukuy, hinaspa churakuy llaspa kaqta, anchatam rupamuchkan.	Quítate la ropa gruesa y ponte la delgada, está haciendo mucho calor.
Kayta, utaq ukkta yachayta munaspa tapukunapaq simi.	Palabra empleada para preguntar cuando se desea saber una cosa u otra.
¿Qamchu icha ñuqachu aswan hawka sunqu kanchik?	¿Tú o yo es más paciente?
Kanan punchawqa runakuna anchata chiqninakunchik, icha munaysapa kayninchik llumpayta sunqunchikpi wiñakuchkan.	Hoy día la gente se odia mucho, tal vez nuestro egoísmo crece demasiado en nuestros corazones.
Imapas nisqanchikwan mana tinkuqmanta rimanapaq simi.	Palabra que sirve para hablar acerca de algo opuesto a lo expresado anteriormente.
Runakunaqa manam chay rikchaqllachu kanchik ichaqa kuyaparinakunanchikmi.	Los hombres no somos iguales pero tenemos que comprendernos.
Takaywan pi maqaq munawaqniyta manchachini.	Con mi puño asusto a aquél que quiere pegarme.
Wak warmakunaqa huk hatun karu llaqtatas illachkanku, mana llaqtankupi llamkay kaptin.	Dicen que esos jóvenes están viajando a una ciudad grande y lejana porque no hay trabajo en su pueblo.
¿Imataq chay chaqway?	¿Qué es esa bulla?
¿Imaykitataq hampisaq?	¿Qué parte de tu cuerpo curaré?
Wiñasqanman hina mana qaway atina (Watuchi).	Algo que es imposible de ver a medida que crece (Adivinanza).
¿Imanawankitaq mana kasuptiy?	¿Qué me vas a hacer si no te obedezco?
¿Imanachkankitaq wawata, imanasqataq qaparimuchkan?	¿Qué le estás haciendo al bebé, por qué está gritando?
Papata, uqata, maswata ima munan.	Ella quiere papas, ocas y masuas.
Papata, uqata, maswata ima munan.	Él quiere papas, ocas y masuas.
Takin, tusun, taqllakun ima.	Canta, baila y aplaude.
Imapitaq rikukuykuni, lliw qullqiyta wischurquni.	Qué gran problema, perdí todo mi dinero.
Imanasqa manaqa.	Por qué no.
¿Wawayta qawaykapullawankimanchu, mayuman kallpaykunaykama?	¿Podrías, por favor, cuidar a mi niño mientras voy por un momento al río?
Imayna manaqa.	Por qué no.
Llapa qaway atina, llapa musyay atina.	Todo lo que se puede ver, todo lo que se puede sentir.
Llapa imam, runa hina tukuqlla.	Todas las cosas, como el ser humano, son temporales.
Imapas ruwaymanta tapukuy.	Preguntar acerca de un suceso.
¿Imanawaqtaq pacha kuyuyta qallariptin?	¿Qué harías si empieza un temblor?
Wak allquqa manam imanawarqachu.	Ese perro no me hizo nada.
Manam imananchu.	No importa.
¿Imanasqataq rumita hanaymanta kachaykuptiyki pampaman wichinpuni?	¿Por qué es que cuando una piedra se suelta de una altura cae, necesariamente, al suelo?
Imanasqataq manaqa.	Por qué no.
¿Imay uratataq chayamunqa illaqkuna?	¿A qué hora llegarán los viajeros?
¿Imay kulurtaq chukchayki?	¿De qué color es tu cabello?
¿Imaynataq wasiyki?	¿Cómo es tu casa?
¿Imaynallataq kachkankichik, taytaykuna? Unayña mana tupanchikchu.	¿Cómo están amigos? Hace tiempo que no nos vemos.
Iskay sulispi.	En dos soles.
Mancharirikuspa imamantapas tapukunapaq simi.	Palabra para preguntar con sorpresa sobre algo.
¿Imaynanpitaq watukarqamuwanki? “Qunqarquwanñach” nirqanitaq ñuqaqa.	¿Cómo así me has visitado? Yo pensé que ya me habías olvidado.
Tawantinsuyu pachapi, kamachikuq lliwmanta hatunnin kaq apu.	Poderosa y más grande autoridad en tiempos del Tahuantinsuyu.
Pachakutikqa ancha hatun yachaysapallaña inkas kasqa.	Dicen que Pachacutec fue un magnífico y sabio inca.
Kimsa, tawa waqrayuq uwiha.	Carnero de tres o cuatro cuernos.
Huk hatun karay inkatam rantirqamuni, sumaq uwihakuna mirapuwananchikpaq.	Compré un carnero grande de cuatro cuernos para que procree buen ganado ovejuno.
Kanchiqllaña quyllur, pachanchikpa muyusqanpa chawpin.	Estrella muy brillante, centro de la rotación de nuestro planeta.
Intipa muyuriqninpim huk pachakuna kuyun kikinkupa ñannintakama.	Alrededor del Sol giran otros planetas siguiendo su propia órbita.
